id,author_year,cave_region_id,is_archival,description,region,archival_flag
11541,Alexandrowicz Z. i in. 1992,40,,"Alexandrowicz Z., Kućmierz A., Urban J., Otęska-Budzyn J. 1992: Waloryzacja przyrody nieożywionej obszarów i obiektów chronionych w Polsce. Wyd. PIG, ss.140, Warszawa.",Karpaty,
10002,Alexandrowicz Z. i in. 1992,18,,"Alexandrowicz Z., Kućmierz A., Urban J., Otęska-Budzyn J. 1992: Waloryzacja przyrody nieożywionej obszarów i obiektów chronionych w Polsce. Wyd. PIG, ss.140, Warszawa.",Niż Polski,
10356,Alexandrowicz Z. i in. 1992,30,,"Alexandrowicz Z., Kućmierz A., Urban J., Otęska-Budzyn J. 1992: Waloryzacja przyrody nieożywionej obszarów i obiektów chronionych w Polsce. Wyd. PIG, ss.140, Warszawa.",Region Świętokrzyski,
11542,"Alexandrowicz Z., Poprawa, P. (red.) 2000",40,,"Alexandrowicz Z., Poprawa P. (red.) 2000: Ochrona georóżnorodności w polskich Karpatach z Mapą chronionych i proponowanych do ochrony obszarów i obiektów przyrody nieożywionej, 1:400 000. Państwowy Instytut Geologiczny, ss. 1-142, Warszawa.",Karpaty,
10358,Alexandrowicz Z. RR 2006,30,,Alexandrowicz Z. RR 2006: Framework of European geosites in Poland. Nature Conservation 62 (5): 63-87.,Region Świętokrzyski,
11543,Alha [Hammerschlag A.] i in. 1927,40,,"Alha [Hammerschlag A.], Marczak [M.], Wiktor [J.] 1927: Ilustrowany przewodnik po Pieninach i Szczawnicy. Kraków.",Karpaty,
15059,Allain J. i in. 1985,47,,"Allain J., Debrosse R., Kozłowski J.K., Rigaud A., Jeannet M., Leroi-Gourhan A. 1985: Le Magdalénien ŕ navettes. Gallia Préhistoire, 28: 37–124.",Wyżyna Śląsko-Krakowska,
10567,Alth A. 1877,47,,"Alth A. 1877: Sprawozdanie z badań geologiczno-antropologicznych w Smoczej Jamie. Zbiór Wiad. Do Antr. Kraj 1: 2-7, Kraków. ",Wyżyna Śląsko-Krakowska,
12434,Amirowicz A. 1988,41,,"Amirowicz A. 1988: Kronika. Gacek 22/44: 64, Kraków.",Tatry,
14919,Amirowicz A. i in. 1995,19,,"Amirowicz A., Baryła J., Dziubek K., Gradziński M. 1995. Jaskinie Pienińskiego Parku narodowego. Pieniny – Przyroda i Człowiek 3: 3-41. ",Pieniny,
15061,Anczyc W.L. 1859–1860,47,,"Anczyc W.L. 1859–1860: Ojców. Tygodnik Ilustrowany, 1, 11 [z 28.11./10.12.]: 84–85.",Wyżyna Śląsko-Krakowska,
15063,Anczyc W.L. 1863,47,,"Anczyc W.L. 1863: Grota Łokietka w Ojcowie. Tygodnik Ilustrowany [z 21.11.1863], nr 217: 448-449.",Wyżyna Śląsko-Krakowska,
12436,Antkiewicz A. 1998,41,,"Antkiewicz A. 1998: Zapomniany Meander. Jaskinie 3 (10): 4-5, Kraków. ",Tatry,
12437,Antkiewicz A. 2002a,41,,"Antkiewicz A. 2002a: Suplement do „Nowe, chociaż stare”. Jaskinie 2(27): 4, Kraków.",Tatry,
12438,Antkiewicz A. 2002b,41,,"Antkiewicz A. 2002b: Jaskinia Mała w Mułowej –361 m, Jaskinie 4(29): 7, Kraków.",Tatry,
12439,Antkiewicz A. 2003a,41,,"Antkiewicz A. 2003a: Wielkie odkrycie w Jaskini Małej w Mułowej. Taternik 1-2/2003: 70-72, Warszawa. ",Tatry,
12440,Antkiewicz A. 2003b,41,,"Antkiewicz A. 2003b: Jaskinia Mała w Mułowej, Jaskinie 1(30), 24-27, Kraków.",Tatry,
12441,Antkiewicz A. 2003c,41,,"Antkiewicz A. 2003c: Jak się Mała wielką stała. Poznaj Świat 5(556): 10-15, Gdańsk.",Tatry,
12442,Antkiewicz A. 2003d,41,,"Antkiewicz A. 2003d: Nowe odkrycia w Jaskini Małej w Mułowej. Taternik 3-4/2003: 44-45, Warszawa.",Tatry,
12435,Antkiewicz A. 2003e,41,,"Antkiewicz A. 2003e: Małej ciąg dalszy. Jaskinie 4(33), 19-22, Kraków.",Tatry,
12443,Antkiewicz A. 2004,41,,"Antkiewicz A. 2004: Mała wielka Dziura, Tatry 1(7), 52-661.",Tatry,
12444,"Antkiewicz A., Mazik K. 1981",41,,"Antkiewicz A., Mazik K. 1981: Czwarty biwak. Alpiniste Complet, kwiecień 1981: 45-47, Katowice-Zabrze",Tatry,
12445,Antkiewicz-Hancbach A. 1984,41,,"Antkiewicz-Hancbach A. 1984: Biwak bez rewelacji. Meander 8: 7, Katowice.",Tatry,
12446,Antkiewicz-Hancbach A. 1985,41,,"Antkiewicz-Hancbach A. 1985: Czuliśmy nowy otwór za Siedmioma Progami. Meander 9: 46, Katowice.",Tatry,
12447,Antkiewicz-Hancbach A. 1986 ,41,,"Antkiewicz-Hancbach A. 1986: Kronika SKTJ. Meander 11: 70, Katowice.",Tatry,
11544,Antkiewicz-Hancbach A. 1987,40,,"Antkiewicz-Hancbach A. 1987: Nowa jaskinia w Karpatach fliszowych. Meander 12, biul. KKS, Katowice.",Karpaty,
12448,Antkiewicz-Hancbach A. 1990,41,,"Antkiewicz-Hancbach A. 1990: Opuszczony problem. Eksplorancik 2(16): 28-29, Kraków.",Tatry,
12449,Antkiewicz-Hancbach A. 1991a,41,,"Antkiewicz-Hancbach A. 1991a: Odkrycia w Jaskini nad Dachem. Tatry 2: 25, Zakopane.",Tatry,
12450,Antkiewicz-Hancbach A. 1991b,41,,"Antkiewicz-Hancbach A. 1991b: Partie Sądeckie w Jaskini nad Dachem. Taternik 1: 52, Warszawa.",Tatry,
12451,Antkiewicz-Hancbach A. 1991c,41,,"Antkiewicz-Hancbach A. 1991c: Nad Dachem - część dokumentacyjna. Eksplorancik 1(17): 3-7, Kraków.",Tatry,
12452,Antkiewicz-Hancbach A. 1992,41,,"Antkiewicz-Hancbach A. 1992: Partie Sądeckie w Ptasiej. Jaskinie 1: 11, Kraków.",Tatry,
10568,Antoniewicz W. 1927,47,,"Antoniewicz W. 1927: Pradzieje ziem polskich. [W:] Polska, jej dzieje i kultura: 15–38. Trzaska, Evert i Michalski, Warszawa.",Wyżyna Śląsko-Krakowska,
10569,Antoniewicz W. 1928,47,,"Antoniewicz W. 1928: Archeologia Polski. VIII. Trzaska, Evert i Michalski, Warszawa, 344 ss.",Wyżyna Śląsko-Krakowska,
15065,Antoniewicz W. 1957,47,,"Antoniewicz W. 1957: Historia sztuki najdawniejszych społeczeństw pierwotnych. Część I. PWN, Warszawa, 234 ss.",Wyżyna Śląsko-Krakowska,
14078,"Arczyński S., Walczak W. 1969",39,,"Arczyński S., Walczak W. 1969: W Sudetach Kłodzkich. Interpress. Warszawa.",Sudety,
14081,Arndt W. 1921,39,,"Arndt W. 1921: Beitrag zur Kenntnis der Höhlenfauna. Ergebnis einer faunistischen Untersuchung der Höhlen Schlesiens. Zoologischer Anzeiger, 52(12-13):310-315. Leipzig.",Sudety,
14079,Arndt W. 1923,39,,"Arndt W. 1923: Speläobiologische Untersuchungen in Schlesien. Speläologische Jahrbuch, 4:95-114. Wien.",Sudety,
12453,Augustyn W. 1979,41,,"Augustyn W. 1979: Trzeci otwór Wielkiej Śnieżnej. Taternik 1: 37-38, Warszawa.",Tatry,
12454,Augustyn W. 1985,41,,"Augustyn W. 1985: Jaskinia Śnieżna, Jasny Awen, Jaskinia Wielka Litworowa i Jaskinia Lodowa Miętusia; List z dn. 20 XI 1985 r. dotyczący eksploracji i pomiarów. Arch. PTPNoZ, Warszawa.",Tatry,
12455,Augustyn W. i in. 1985,41,,"Augustyn W., Bryś T., Jabłoński G., Kliś W.A., Kucia W., Siarkowski M. 1985: Sprawozdanie z działalności w Jaskini Wielkiej Śnieżnej w 1985 r. Sekcja Grotołazów Klubu Wysokogórskiego we Wrocławiu. Arch. PTPNoZ",Tatry,
15067,Babijew A. 1983,47,,"Babijew A., Martyka D., Pohoska A. 1983: Jaskinia Złodziejska i leżące obok schroniska. Niepublikowana dokumentacja kartograficzna, Archiwum OPN, Ojców.",Wyżyna Śląsko-Krakowska,
12458,Babik J. 1923,41,,"Babik J. 1923: Defekte Zähne beim Höhlenbären und anderen Säugetieren. Bull. Intern. de l’Acad. des Sciences de Cracovie. Cl. des Sciences Math. et Nat., s. B 1923, nr 1-10: 215-216, Kraków.",Tatry,
12459,Babik J. 1923b,41,,"Babik J. 1923b: Uszkodzone zęby niedźwiedzia jaskiniowego i innych ssawców. Spr. z Czynności i Pos. P.A.U. 28, nr 9:13, Kraków.",Tatry,
12460,Bac M. 1963,41,,"Bac M. 1963: Budowa geologiczna Stołów pod Kominami Tylkowymi w Tatrach Zachodnich. Acta Geol. Pol. XIII-1, 61-85, PWN Warszawa.",Tatry,
12461,Bac M. 1971,41,,"Bac M. 1971: Tektonika jednostki Bobrowca w Tatrach Zachodnich. Acta Geol. Pol. 21, 2: 279-316, PWN Warszawa.",Tatry,
12462,"Bac M., Grochocka K. 1965",41,,"Bac M., Grochocka K. 1965: Budowa fałdu Czerwonych Wierchów na wschodnim zboczu Doliny Kościeliskiej w Tatrach. Acta Geol. Pol. XV-3, 331-350, PWN Warszawa.",Tatry,
14084,Baca M. i in. 2014,39,,"Baca M., Mackiewicz P., Stankovic A., Popović D., Stefaniak K., Czarnogórska K., Nadachowski A., Gąsiorowski M., Hercman H., Węgleński P. 2014: Ancient DNA and dating of cave bear remains from Niedźwiedzia Cave suggest early appearance of Ursus ingressus in Sudetes. [w:] Quaternary International, 339-340.",Sudety,
15069,Baca M. i in. 2020,47,,"Baca M., Popović D., Lemanik A., Baca K., Horáček I., Nadachowski A. 2020: Highly divergent lineage of narrow-headed vole from the Late Pleistocene Europe. Scientific Reports, 9, 17799. [10 ss.]",Wyżyna Śląsko-Krakowska,
14451,"Bac-Bronowicz J., Kaczałek M. 1980",39,,"Bac-Bronowicz J., Kaczałek M. 1980: Fotogrametryczne określanie kształtu jaskiń na przykładzie Jaskini Niedźwiedziej w Kletnie. IGIZM, Akademia Rolnicza, Wrocław (maszynopis).",Sudety,
14083,"Bac-Bronowicz J., Kaczałek M. 1981",39,,"Bac-Bronowicz J., Kaczałek M. 1981: Geodezyjne i fotogrametryczne określenie przestrzennego kształtu jaskiń na przykładzie Jaskini Niedźwiedziej w Kletnie. Przegląd Geodezyjny, 5. Warszawa.",Sudety,
10003,"Bacieczko W., Agapow L. 1992",18,,"Bacieczko W., Agapow L. 1992: ""Skalisty Jar Libberta"", projektowany rezerwat geologiczno-krajobrazowo-florystyczny na Pojezierzu Myśliborskim. Chrońmy Przyr. Ojcz. 48. 5: 73-78.",Niż Polski,
12463,Bac-Moszaszwili M. 2004,41,,"Bac-Moszaszwili M. 2004: Budowa geologiczna Doliny ku Dziurze. [W:] Zjawiska krasowe Doliny ku Dziurze ze szczególnym uwzględnieniem krasu hydrotermalnego, Materiały 38 Sympozjum Speleologicznego: 17-18, Zakopane.",Tatry,
12166,"Bac-Moszaszwili M., Gąsienica-Szostak M. 1990",41,,"Bac-Moszaszwili M., Gąsienica-Szostak M. 1990: Tatry Polskie. Przewodnik geologiczny dla turystów, 5-159, Wyd. Geologiczne, Warszawa.",Tatry,
12464,Bac-Moszaszwili M. i in. 1979a,41,,"Bac-Moszaszwili M., Burchart J., Głazek J., Iwanow A., Jaroszewski W., Kotański Z., Lefeld J., Mastella L., Ozimkowski W., Roniewicz P., Skupiński A., Westwalewicz-Mogilska E. 1979a: Mapa geologiczna Tatr Polskich 1:30 000, Wydawnictwa Geologiczne, Warszawa.",Tatry,
12465,Bac-Moszaszwili M. i in. 1979b,41,,"Bac-Moszaszwili M., Burchart J., Głazek J., Kotański Z., Lefeld J., Roniewicz, P. 1979b: Budowa i historia geologiczna Tatr. [W:] Mapa geologiczna Tatr Polskich 1:30 000 (Bac-Moszaszwili M., Burchart J., Głazek J., Iwanow A., Jaroszewski W., Kotański Z., Lefeld J., Mastella L., Ozimkowski, W.,Roniewicz, P., Skupiński, A., Westwalewicz-Mogilska, E.), Wydawnictwa Geologiczne, Warszawa.",Tatry,
12269,"Bac-Moszaszwili M., Nowicki T. 2004",41,,"Bac-Moszaszwili M., Nowicki T. 2004: Zależność rozwoju jaskiń od sytuacji geologicznej na przykładzie jaskiń płaszczowiny Czerwonych Wierchów, Materiały 38 Sympozjum Speleologicznego: 33-34, Zakopane.",Tatry,
12270,"Bac-Moszaszwili M., Nowicki T. 2006",41,,"Bac-Moszaszwili M., Nowicki T. 2006: Uwagi o rozwoju jaskiń w strukturze płaszczowinowej Czerwonych Wierchów w Tatrach, Przegląd Geologiczny, vol. 54, 1: 56-60, Warszawa.",Tatry,
12271,"Bac-Moszaszwili M., Rudnicki J. 1978",41,,"Bac-Moszaszwili M., Rudnicki J. 1978: O możliwości hydrotermalnej genezy jaskini Dziura w Tatrach. Kras i Speleologia, 2 (XI): 84-89, Katowice.",Tatry,
12272,"Bac-Moszaszwili M., Rudnicki J. 1991",41,,"Bac-Moszaszwili M., Rudnicki J. 1991: Jaskinia Dziura, przykład krasu hydrotermalnego w Tatrach, Tatry, Kwartalnik Tatrzańskiego Parku Narodowego, 1: 10-12, Zakopane.",Tatry,
12119,Baczyński P. 1996,40,,Baczyński P. 1996: Materiały dotyczące Groty Os. Rękopis. Archiwum prywatne.,Karpaty,
12273,"Badania grot w Tatrach, 1938",41,,"Badania grot w Tatrach, 1938: Kwartalny Biul. Inf. (delegata Ministra W.R. i O.P. do spraw ochrony przyrody) 8, nr 4: 4, Kraków.",Tatry,
10570,Badania jaskiń z okolic Krakowa. 1879,47,,"Badania jaskiń z okolic Krakowa. 1879: Dwutygodnik Naukowy, pod. red. Ziemęckiego 2: 543-544, Kraków.",Wyżyna Śląsko-Krakowska,
10571,Badania jaskiń z okolic Krakowa. 1880,47,,"Badania jaskiń z okolic Krakowa. 1880: Przyroda i Przemyśl 8: 556-557, Warszawa.",Wyżyna Śląsko-Krakowska,
12274,"Badania speleologiczne w Tatrach, 1951",41,,"Badania speleologiczne w Tatrach, 1951: Wierchy 20: 229, Kraków.",Tatry,
15071,"Badanie, 1883",47,,"Badanie, 1883: Badanie jaskiń w roku bieżącym w wąwozie Ojcowskim. Biblioteka Warszawska, [b.t.], 4, 310–312.",Wyżyna Śląsko-Krakowska,
14085,Bagniewski Z. 1968,39,,"Bagniewski Z. 1968: Badania kompleksowe Jaskini Niedźwiedziej k/Kletna, pow. Bystrzyca Kłodzka.",Sudety,
15099,"[Baliński M., Lipiński T.] 1844",47,,"[Baliński M., Lipiński T.] 1844: Starożytna Polska pod względem historycznym, jeograficznym i statystycznym opisana przez Michała Balińskiego i Tymoteusza Lipińskiego. Nakładem S. Orgelbranda księgarza, Warszawa, 986 ss.",Wyżyna Śląsko-Krakowska,
12275,Bałas A. 1977a,41,,"Bałas A. 1977a: Działalność wyjazdowa KKTJ w okresie 16.01 do 9.12.1976 r. Jamnik 5: 20-21, Kraków.",Tatry,
12276,Bałas A. 1977b,41,,"Bałas A. 1977b: Lato 1976. Jamnik 5: 23-24, Kraków.",Tatry,
15073,Banaś M. 1985,47,,Banaś M. 1985: Jaskinie OPN; cz. 1. [16] kk. (maszynopis w Bibliotece OPN).,Wyżyna Śląsko-Krakowska,
14527,Banaś M. i in. 1998,47,,"Banaś M., Mroszczyk M., Wawryka M. 1998: Dolina Dłubni. Jaskinie 5(12): 23-24, Kraków.",Wyżyna Śląsko-Krakowska,
12277,"Banaś M., Tokarski, A.K. 2005",41,,"Banaś M., Tokarski, A.K. 2005: Wstrząsy sejsmiczne – obserwacje w jaskiniach Polski, Materiały 39 Sympozjum Speleologicznego: 19, Starbienino.",Tatry,
14087,Bansen 1935,39,,"Bansen 1935: Die drei grösseren Grafschafter Höhlen. Grafschaft Glatz, 30(5).",Sudety,
10572,"Baran K., Opozda T. 1983",47,,"Baran K., Opozda T. 1983: Skałki Podkrakowskie. Przewodnik wspinaczkowy – tom 1. PTTK, Wydawnictwo „KRAJ”, 120 ss., Warszawa-Kraków. ",Wyżyna Śląsko-Krakowska,
10573,"Baran K., Opozda T. 1985",47,,"Baran K., Opozda T. 1985: Skałki Podkrakowskie. Przewodnik wspinaczkowy – tom 2. PTTK, Wydawnictwo „KRAJ”, 112 ss ., Warszawa-Kraków.",Wyżyna Śląsko-Krakowska,
10577,"Baranek W., Powichrowski L. 1975",47,,"Baranek W., Powichrowski L. 1975: Jaskinie doliny Wodącej i ich fauna, Chrońmy Przyrodę Ojczystą 5: 64-71, Kraków. ",Wyżyna Śląsko-Krakowska,
11545,Barański M. 1994,40,,"Barański M. 1994: Beskid Śląski. Pasmo Baraniej Góry. Przewodnik turystyczny: 135, Warszawa.",Karpaty,
